Family;Genus;Species;Binomial;SPECIES_TPL;Group;life_span;growth_form;sla;sla_sd;sla_se;max_height;herbivores;mean_tm;tm_sd;tm_se;res
Pinaceae;Abies;alba;Abies_alba;Abies_alba;G;Perennial;Tree;9.962599655;NA;NA;50;30;0.893;NA;NA;0.592323927
Pinaceae;Abies;balsamea;Abies_balsamea;Abies_balsamea;G;Perennial;Tree;10.02235314;NA;NA;49.74241953;2;0.8875;NA;NA;-0.056302272
Pinaceae;Abies_borissi;regis;Abies_borisii-regis;Abies_borisii-regis;G;Perennial;Tree;10.0044785;NA;NA;49.81947208;1;0.94;NA;NA;0.353897681
Malvaceae;Alcea;rosea;Alcea_rosea;Alcea_rosea;D;Perennial;Tree;14.45;NA;NA;2.7;7;0.977333333;NA;0.003333333;0.426905061
Amaranthaceae;Amaranthus;caudatus;Amaranthus_caudatus;Amaranthus_caudatus;D;Annual;Herb;19.67;NA;NA;1.2;1;0.173;NA;NA;-0.271378964
Amaranthaceae;Amaranthus;hybridus_subsp._cruentus;Amaranthus_hybridus_subsp._cruentus;Amaranthus_cruentus;D;Annual;Herb;19.73315699;NA;NA;1.279870089;1;0.31;NA;NA;-0.345639865
Ranunculaceae;Aquilegia;vulgaris;Aquilegia_vulgaris;Aquilegia_vulgaris;D;Perennial;Herb;22.6;NA;NA;1;9;0.365;NA;NA;0.113267017
Brassicaceae;Arabidopsis;thaliana;Arabidopsis_thaliana;Arabidopsis_thaliana;D;Annual;Herb;37.9;NA;NA;0.5;8;0.0028;NA;NA;-0.021155219
Brassicaceae;Arabis;alpina;Arabis_alpina;Arabis_alpina;D;Perennial;Herb;26.32;NA;NA;0.4;2;0.56;NA;NA;-0.339730501
Cactaceae;Ariocarpus;fissuratus;Ariocarpus_fissuratus;Ariocarpus_fissuratus;D;Perennial;Shrub;23.31311629;NA;NA;4.600737046;1;0.93;NA;NA;0.269216193
Poaceae;Arrhenatherum;elatius;Arrhenatherum_elatius;Arrhenatherum_elatius;M;Perennial;Herb;20.9;NA;NA;1.8;1;0.7035;NA;0.09425;-1.162626392
Apocynaceae;Asclepias;syriaca;Asclepias_syriaca;Asclepias_syriaca;D;Perennial;Herb;15.83;NA;NA;7.034214243;3;1;NA;NA;-0.011219104
Amaranthaceae;Beta;vulgaris;Beta_vulgaris;Beta_vulgaris;D;Annual;Herb;19.36;NA;NA;2;18;0.679;NA;0.009;0.37372249
Asteraceae;Bidens;pilosa;Bidens_pilosa;Bidens_pilosa;D;Annual;Herb;25.42324937;NA;NA;2;1;0.062333333;0.031;NA;-0.677754306
Boraginaceae;Borago;officinalis;Borago_officinalis;Borago_officinalis;D;Annual;Herb;20.01;NA;NA;0.5;1;0.915;NA;NA;-0.560755674
Brassicaceae;Brassica;napus;Brassica_napus;Brassica_napus;D;Annual;Herb;29.5;NA;NA;1.1;15;0.37;NA;NA;0.440851409
Poaceae;Bromus;arvensis;Bromus_arvensis;Bromus_arvensis;M;Annual;Graminoid;12.8;NA;NA;0.5;1;0.985;NA;NA;-0.524635166
Poaceae;Bromus;hordeaceus;Bromus_hordeaceus;Bromus_hordeaceus;M;Annual;Graminoid;20.34940425;NA;NA;0.625027674;5;0.0645;NA;NA;-0.37669918
Poaceae;Bromus;tectorum;Bromus_tectorum;Bromus_tectorum;M;Annual;Graminoid;34.77;NA;NA;0.52;4;0.00625;NA;NA;-0.120740239
Scrophulariaceae;Buddleja;davidii;Buddleja_davidii;Buddleja_davidii;D;Perennial;Shrub;21.31;NA;NA;5;9;0.93;0.026;NA;0.197327195
Brassicaceae;Cakile;maritima;Cakile_maritima;Cakile_maritima;D;Annual;Herb;14.01;NA;NA;0.45;6;0.914285714;NA;0.081428571;0.1145308
Ericaceae;Calluna;vulgaris;Calluna_vulgaris;Calluna_vulgaris;D;Perennial;Shrub;9.1;NA;NA;2.2;84;0.78;NA;NA;0.759183227
Brassicaceae;Camelina;sativa;Camelina_sativa;Camelina_sativa;D;Annual;Herb;32.61215971;NA;NA;0.8;2;0.0015;NA;NA;-0.123270218
Theaceae;Camellia;japonica;Camellia_japonica;Camellia_japonica;D;Perennial;Tree;25.96054722;NA;NA;3.65280543;1;0.911;NA;NA;-0.357941906
Theaceae;Camellia;sinensis;Camellia_sinensis;Camellia_sinensis;D;Perennial;Tree;25.96054722;NA;NA;3.65280543;1;0.995;NA;0.094;-0.302039059
Campanulaceae;Campanula;rapunculoides;Campanula_rapunculoides;Campanula_rapunculoides;D;Perennial;Herb;74.15;NA;NA;0.55;12;0.565;NA;NA;0.322781782
Asteraceae;Carduus;acanthoides;Carduus_acanthoides;Carduus_acanthoides;D;Biennial;Herb;21.94;NA;NA;1;1;0.713333333;NA;NA;-0.563291386
Asteraceae;Carduus;nutans;Carduus_nutans;Carduus_nutans;D;Biennial;Herb;19.4;NA;NA;0.9;24;0.902;NA;NA;0.635726919
Pinaceae;Cedrus;atlantica;Cedrus_atlantica;Cedrus_atlantica;G;Perennial;Tree;10.47545196;NA;NA;47.78923801;2;0.91;NA;NA;0.057298146
Pinaceae;Cedrus;libani;Cedrus_libani;Cedrus_libani;G;Perennial;Tree;10.47545196;NA;NA;47.78923801;1;0.942;NA;0.032;-0.062786936
Asteraceae;Centaurea;cineraria;Centaurea_cineraria;Centaurea_cineraria;D;Perennial;Herb;25.76771279;NA;NA;0.929551512;1;0.638;NA;0.037;-0.202844227
Asteraceae;Centaurea;solstitialis;Centaurea_solstitialis;Centaurea_solstitialis;D;Annual;Herb;27.77;NA;NA;0.8;1;0.977875;NA;0.01825;-0.427342152
Onagraceae;Chamerion;angustifolium;Chamerion_angustifolium;Epilobium_angustifolium;D;Perennial;Herb;27.05;NA;NA;1.2;29;0.808333333;NA;NA;0.559955724
Asteraceae;Cirsium;palustre;Cirsium_palustre;Cirsium_palustre;D;Biennial;Herb;15.66;NA;NA;1.3;25;0.744285714;NA;0.060571429;0.265563111
Rosaceae;Comarum;palustre;Comarum_palustre;Comarum_palustre;D;Perennial;Herb;21.11568593;NA;NA;5.10181688;5;0.615;NA;0.08;-0.296788008
Rosaceae;Crataegus;crus-galli;Crataegus_crus-galli;Crataegus_crus-galli;D;Perennial;Tree;12.47630616;NA;NA;10;2;0.3;NA;0.051;-0.055427953
Boraginaceae;Cynoglossum;officinale;Cynoglossum_officinale;Cynoglossum_officinale;D;Biennial;Herb;24.2;NA;NA;0.9;11;0.678;NA;NA;0.336523419
Poaceae;Cynosurus;cristatus;Cynosurus_cristatus;Cynosurus_cristatus;M;Perennial;Graminoid;23.16;NA;NA;0.75;2;0.963333333;NA;NA;-0.719734296
Solanaceae;Datura;stramonium;Datura_stramonium;Datura_stramonium;D;Annual;Herb;41.95;NA;NA;2;3;0.0445;NA;NA;-0.229186141
Apiaceae;Daucus;carota;Daucus_carota;Daucus_carota;D;Biennial;Herb;18;NA;NA;1;36;0.963;NA;0.013;0.450048037
Poaceae;Deschampsia;cespitosa;Deschampsia_cespitosa;Deschampsia_cespitosa;M;Perennial;Graminoid;14.15;NA;NA;2;1;0.92;NA;0.0845;-1.157573549
Boraginaceae;Echium;plantagineum;Echium_plantagineum;Echium_plantagineum;D;Annual;Herb;32.85;NA;NA;0.6;1;0.88625;NA;NA;-0.751667144
Boraginaceae;Echium;vulgare;Echium_vulgare;Echium_vulgare;D;Biennial;Herb;12.9;NA;NA;0.9;25;0.875;NA;NA;0.474428367
Apiaceae;Eryngium;alpinum;Eryngium_alpinum;Eryngium_alpinum;D;Perennial;Herb;22.56517543;NA;NA;2.003040781;1;0.886666667;NA;NA;-0.147462198
Fagaceae;Fagus;sylvatica_var._atropunicea;Fagus_sylvatica_var._atropunicea;Fagus_grandifolia;D;Perennial;Tree;31.94;NA;NA;50;4;1;NA;NA;-0.555686569
Rosaceae;Filipendula;vulgaris;Filipendula_vulgaris;Filipendula_vulgaris;D;Perennial;Herb;13.75;NA;NA;0.8;4;0.96;NA;NA;-0.190793317
Rosaceae;Fragaria;vesca;Fragaria_vesca;Fragaria_vesca;D;Perennial;Herb;18.46;NA;NA;0.3;19;0.236;NA;NA;0.187183973
Oleaceae;Fraxinus;excelsior;Fraxinus_excelsior;Fraxinus_excelsior;D;Perennial;Tree;12;13.23;5;43;55;0.965;NA;0.044333333;0.535365413
Geraniaceae;Geranium;pratense;Geranium_pratense;Geranium_pratense;D;Perennial;Herb;21.4;NA;NA;0.8;12;0.884;NA;NA;0.356593696
Rosaceae;Geum;rivale;Geum_rivale;Geum_rivale;D;Perennial;Herb;22.3;NA;NA;0.6;4;0.7305;NA;0.069;-0.336462497
Rosaceae;Geum;urbanum;Geum_urbanum;Geum_urbanum;D;Perennial;Herb;41.5;NA;NA;0.8;7;0.103333333;NA;NA;-0.265510345
Fabaceae;Glycine;max;Glycine_max;Glycine_max;D;Annual;Herb;22.74652239;NA;NA;12.19197068;3;0.065409091;NA;0.028090909;-0.468955062
Fabaceae;Hedysarum;coronarium;Hedysarum_coronarium;Hedysarum_coronarium;D;Perennial;Herb;23.02743326;NA;NA;6.84910919;1;0.878142857;NA;NA;-0.092165598
Asteraceae;Helianthus;annuus;Helianthus_annuus;Helianthus_annuus;D;Annual;Herb;21.32;NA;NA;2.7;6;0.768;NA;NA;0.059021021
Poaceae;Hordeum;jubatum;Hordeum_jubatum;Hordeum_jubatum;M;Perennial;Graminoid;20.3;NA;NA;1.711642846;1;0.013;NA;NA;-0.475931959
Poaceae;Hordeum;vulgare;Hordeum_vulgare;Hordeum_vulgare;M;Annual;Graminoid;21.96;NA;NA;1.5;22;0.015;NA;NA;0.260482918
Balsaminaceae;Impatiens;capensis;Impatiens_capensis;Impatiens_capensis;D;Annual;Herb;54.3;NA;NA;0.6;1;0.443285714;NA;NA;-0.515407118
Juglandaceae;Juglans;mandshurica;Juglans_mandshurica;Juglans_mandshurica;D;Perennial;Tree;54.3;NA;NA;17.8956947;1;0.99;NA;NA;-0.126036823
Juglandaceae;Juglans;regia;Juglans_regia;Juglans_regia;D;Perennial;Tree;14.6;1.11;NA;25;15;0.977;NA;0.015;0.378851409
Lamiaceae;Lamium;amplexicaule;Lamium_amplexicaule;Lamium_amplexicaule;D;Annual;Herb;19.7;NA;NA;0.3;7;0.1895;NA;0.11375;0.012176202
Pinaceae;Larix;decidua;Larix_decidua;Larix_decidua;G;Perennial;Tree;9.81;0.447;0.2;35;33;0.809;NA;NA;0.686248226
Pinaceae;Larix;occidentalis;Larix_occidentalis;Larix_occidentalis;G;Perennial;Tree;9.721525809;NA;NA;37.72432646;1;0.97;NA;0.013;0.0731174
Fabaceae;Lathyrus;latifolius;Lathyrus_latifolius;Lathyrus_latifolius;D;Perennial;Liana;19.57;NA;NA;3;11;0.806571429;NA;0.028857143;0.375155298
Fabaceae;Lens;culinaris;Lens_culinaris;Lens_culinaris;D;Annual;Herb;22.24546463;NA;NA;0.3;7;0.019;NA;NA;0.12630183
Poaceae;Lolium;multiflorum;Lolium_multiflorum;Lolium_multiflorum;M;Biennial;Graminoid;36.25;NA;NA;0.5;2;0.82;NA;NA;-0.501486634
Malpighiaceae;Malpighia;emarginata;Malpighia_emarginata;Malpighia_emarginata;D;Perennial;Tree;27.75958045;NA;NA;8.102528553;1;1;NA;NA;0.075087123
Malvaceae;Malva;moschata;Malva_moschata;Malva_moschata;D;Perennial;Herb;20.03;NA;NA;0.8;3;0.64;NA;NA;-0.340348214
Anacardiaceae;Mangifera;indica;Mangifera_indica;Mangifera_indica;D;Perennial;Tree;8.963905586;NA;NA;8.790966901;3;0.91;NA;NA;0.050646159
Euphorbiaceae;Manihot;esculenta;Manihot_esculenta;Manihot_esculenta;D;Perennial;Shrub;36.27831164;NA;NA;5.086104169;1;0.915;NA;0.04;-0.854563989
Fabaceae;Medicago;polymorpha;Medicago_polymorpha;Medicago_polymorpha;D;Annual;Herb;20.13;NA;NA;0.8;2;0.082;NA;NA;-0.44622185
Fabaceae;Medicago;sativa;Medicago_sativa;Medicago_sativa;D;Perennial;Herb;33;NA;NA;0.5;47;0.76;NA;NA;0.716720912
Fabaceae;Medicago;truncatula;Medicago_truncatula;Medicago_truncatula;D;Annual;Herb;27.65434369;NA;NA;0.837323861;1;0.0245;NA;NA;-0.52716261
Euphorbiaceae;Mercurialis;annua;Mercurialis_annua;Mercurialis_annua;D;Annual;Herb;49.23;NA;NA;0.5;4;0.5795;NA;0.0555;-0.241631023
Myrtaceae;Myrtus;communis;Myrtus_communis;Myrtus_communis;D;Perennial;Shrub;10.39;NA;NA;8.344004421;1;0.400583333;NA;NA;-0.483252021
Lamiaceae;Ocimum;basilicum;Ocimum_basilicum;Ocimum_basilicum;D;Perennial;Herb;15.07864034;NA;NA;1.552569458;5;0.667;NA;NA;0.401696399
Oleaceae;Olea;europaea;Olea_europaea;Olea_europaea;D;Perennial;Tree;4.57;NA;NA;35.92140929;4;0.9745;NA;NA;-0.119631694
Asteraceae;Onopordum;illyricum;Onopordum_illyricum;Onopordum_illyricum;D;Biennial;Herb;22.19685453;NA;NA;1.113272096;1;0.568;NA;NA;-0.154859775
Papaveraceae;Papaver;dubium;Papaver_dubium;Papaver_dubium;D;Annual;Herb;23.43;NA;NA;1;6;0.24;NA;NA;-0.053292911
Papaveraceae;Papaver;somniferum;Papaver_somniferum;Papaver_somniferum;D;Annual;Herb;38.23;NA;NA;1.1;7;0.202;NA;NA;0.197364836
Fabaceae;Phaseolus;coccineus;Phaseolus_coccineus;Phaseolus_coccineus;D;Perennial;Liana;22.74652239;NA;NA;12.19197068;2;0.645;NA;0.1025;-0.210269759
Fabaceae;Phaseolus;lunatus;Phaseolus_lunatus;Phaseolus_lunatus;D;Annual;Liana;22.74652239;NA;NA;12.19197068;1;0.096444444;NA;NA;-0.547468594
Xanthorrhoeaceae;Phormium;tenax;Phormium_tenax;Phormium_tenax;M;Perennial;Shrub;24.1449486;NA;NA;5.613783409;1;0.919625;NA;0.07175;-0.277140663
Poaceae;Phyllostachys;edulis;Phyllostachys_edulis;Phyllostachys_edulis;M;Perennial;Graminoid;23.10697042;NA;NA;2.08850572;1;0.089;NA;0;0.080247888
Pinaceae;Picea;abies;Picea_abies;Picea_abies;G;Perennial;Tree;2.61;0.34;0.17;50;108;0.933428571;NA;NA;0.922272359
Pinaceae;Picea;engelmannii;Picea_engelmannii;Picea_engelmannii;G;Perennial;Tree;23.42169759;NA;NA;33.43180064;2;0.93;NA;0.034666667;0.182809756
Pinaceae;Picea;glauca;Picea_glauca;Picea_glauca;G;Perennial;Tree;26.7;NA;NA;30;4;0.845;NA;NA;0.180955109
Pinaceae;Picea;jezoensis;Picea_jezoensis;Picea_jezoensis;G;Perennial;Tree;4.814711427;NA;NA;51.76861352;2;0.9595;NA;NA;0.318071237
Pinaceae;Picea;mariana;Picea_mariana;Picea_mariana;G;Perennial;Tree;10.78;NA;NA;44.68646563;1;0.820333333;NA;NA;-0.270370841
Pinaceae;Picea;sitchensis;Picea_sitchensis;Picea_sitchensis;G;Perennial;Tree;6.3;NA;NA;60;4;0.870428571;NA;NA;-0.073319548
Pinaceae;Pinus;banksiana;Pinus_banksiana;Pinus_banksiana;G;Perennial;Tree;26.2;NA;NA;36.07430995;2;0.88;NA;NA;0.057086832
Pinaceae;Pinus;contorta;Pinus_contorta;Pinus_contorta;G;Perennial;Tree;22.03512151;NA;NA;36.75013333;4;0.946;NA;NA;0.168522908
Pinaceae;Pinus;densiflora;Pinus_densiflora;Pinus_densiflora;G;Perennial;Tree;7.899726933;NA;NA;40.82483072;1;0.955;NA;NA;-0.313106538
Pinaceae;Pinus;heldreichii;Pinus_heldreichii;Pinus_heldreichii;G;Perennial;Tree;9.154166613;NA;NA;38.59371493;2;0.801333333;NA;NA;0.534546763
Pinaceae;Pinus;parviflora;Pinus_parviflora;Pinus_parviflora;G;Perennial;Tree;11.52412047;NA;NA;40.32798139;1;0.5275;NA;NA;-0.054530566
Pinaceae;Pinus;pinaster;Pinus_pinaster;Pinus_pinaster;G;Perennial;Tree;2.4;0.82;0.29;30;6;0.976666667;NA;0.017;0.086323844
Pinaceae;Pinus;ponderosa;Pinus_ponderosa;Pinus_ponderosa;G;Perennial;Tree;16.5;NA;NA;37.64830227;1;0.91;NA;NA;-0.390322656
Pinaceae;Pinus;pungens;Pinus_pungens;Pinus_pungens;G;Perennial;Tree;18.84429306;NA;NA;37.26790028;1;1;NA;NA;0.096945304
Pinaceae;Pinus;resinosa;Pinus_resinosa;Pinus_resinosa;G;Perennial;Tree;7.601301012;NA;NA;41.35560378;1;0.81;NA;NA;-0.199671805
Pinaceae;Pinus;rigida;Pinus_rigida;Pinus_rigida;G;Perennial;Tree;18.84429306;NA;NA;37.26790028;1;0.95;NA;NA;-0.262299235
Pinaceae;Pinus;sibirica;Pinus_sibirica;Pinus_sibirica;G;Perennial;Tree;11.52412047;NA;NA;40.32798139;4;0.854;NA;NA;0.662455782
Pinaceae;Pinus;strobus;Pinus_strobus;Pinus_strobus;G;Perennial;Tree;11.60020555;NA;NA;40;10;0.923555556;NA;0.013666667;0.446676928
Pinaceae;Pinus;sylvestris;Pinus_sylvestris;Pinus_sylvestris;G;Perennial;Tree;4.99;NA;NA;46;7;0.9505;NA;NA;-0.307448285
Anacardiaceae;Pistacia;lentiscus;Pistacia_lentiscus;Pistacia_lentiscus;D;Perennial;Tree;4.8;NA;NA;9.466632408;6;0.974;NA;NA;0.039854121
Fabaceae;Pisum;sativum;Pisum_sativum;Pisum_sativum;D;Annual;Liana;20.75;NA;NA;1;15;0.07;NA;NA;0.285841688
Plantaginaceae;Plantago;lanceolata;Plantago_lanceolata;Plantago_lanceolata;D;Perennial;Herb;10.6;NA;NA;0.4;42;1;NA;NA;0.37624129
Plantaginaceae;Plantago;major;Plantago_major;Plantago_major;D;Perennial;Herb;16.5;NA;NA;0.6;21;0.046;NA;NA;0.151852314
Cupressaceae;Platycladus;orientalis;Platycladus_orientalis;Platycladus_orientalis;G;Perennial;Tree;8.763769901;NA;NA;10;2;0.7475;NA;NA;0.041629061
Primulaceae;Primula;vulgaris;Primula_vulgaris;Primula_vulgaris;D;Perennial;Herb;28.6;NA;NA;0.15;1;0.852;NA;NA;-0.805555478
Rosaceae;Prunus;avium;Prunus_avium;Prunus_avium;D;Perennial;Tree;10.1;0.468;0.27;25;62;0.949;NA;NA;0.716805542
Rosaceae;Prunus;mahaleb;Prunus_mahaleb;Prunus_mahaleb;D;Perennial;Shrub;23.2;NA;NA;6;13;0.45;NA;NA;0.370440121
Pinaceae;Pseudotsuga;menziesii;Pseudotsuga_menziesii;Pseudotsuga_menziesii;G;Perennial;Tree;7.17;NA;NA;90;14;0.9166;NA;NA;0.43807145
Fagaceae;Quercus;petraea_subsp._petraea;Quercus_petraea_subsp._petraea;Quercus_petraea;D;Perennial;Tree;8.68;0.26;0.13;45;107;1;NA;0.017;1.419278042
Fagaceae;Quercus;robur_subsp._robur;Quercus_robur_subsp._robur;Quercus_robur;D;Perennial;Tree;19.4;20.1;3.5;50;229;0.998375;NA;0.00025;1.757645184
Orobanchaceae;Rhinanthus;angustifolius;Rhinanthus_angustifolius;Rhinanthus_serotinus;D;Annual;Hemiparasite;22.96;NA;NA;0.7;4;0.762;NA;0.03;0.027193204
Orobanchaceae;Rhinanthus;minor;Rhinanthus_minor;Rhinanthus_minor;D;Annual;Hemiparasite;18.47;NA;NA;0.6;4;0.134;NA;0.026;-0.348595359
Ericaceae;Rhododendron;ferrugineum;Rhododendron_ferrugineum;Rhododendron_ferrugineum;D;Perennial;Shrub;13.21969606;NA;NA;1.5;2;0.51;NA;NA;-0.353909708
Fabaceae;Robinia;pseudoacacia;Robinia_pseudoacacia;Robinia_pseudoacacia;D;Perennial;Tree;18.73;NA;NA;30;9;0.824347826;NA;NA;0.027105538
Lamiaceae;Salvia;pratensis;Salvia_pratensis_subsp._pratensis;Salvia_pratensis;D;Perennial;Herb;25.92;NA;NA;1;2;0.645;NA;0.07725;-0.13401995
Rosaceae;Sanguisorba;officinalis;Sanguisorba_officinalis;Sanguisorba_officinalis;D;Perennial;Herb;15.43;NA;NA;1;21;0.914;NA;NA;0.445955522
Caprifoliaceae;Scabiosa;columbaria;Scabiosa_columbaria;Scabiosa_columbaria;D;Perennial;Herb;18.71;NA;NA;0.7;16;0.9655;NA;0.092;0.346710146
Sciadopityaceae;Sciadopitys;verticillata;Sciadopitys_verticillata;Sciadopitys_verticillata;G;Perennial;Tree;7.893758459;NA;NA;31.56992234;1;0.6405;NA;0.1535;0.059872883
Asteraceae;Senecio;squalidus;Senecio_squalidus;Senecio_squalidus;D;Perennial;Herb;27.08;NA;NA;0.33;4;0.638466667;NA;NA;0.177718896
Asteraceae;Senecio;vulgaris;Senecio_vulgaris;Senecio_vulgaris;D;Annual;Herb;38.5;NA;NA;0.3;15;0.21;NA;NA;0.114565794
Asteraceae;Silybum;marianum;Silybum_marianum;Silybum_marianum;D;Biennial;Herb;18.43683412;NA;NA;1.4;3;0.02;NA;NA;-0.101630951
Rosaceae;Sorbus;domestica;Sorbus_domestica;Sorbus_domestica;D;Perennial;Tree;9.9;NA;NA;15;2;0.672;NA;0.045;-0.242843893
Poaceae;Sorghum;bicolor;Sorghum_bicolor;Sorghum_bicolor;M;Annual;Graminoid;22.81;NA;NA;2.404346888;1;0.472;NA;NA;-0.936679684
Cupressaceae;Thuja;occidentalis;Thuja_occidentalis;Thuja_occidentalis;G;Perennial;Tree;4.49;NA;NA;20;4;0.2875;NA;NA;0.162636766
Cupressaceae;Thuja;plicata;Thuja_plicata;Thuja_plicata;G;Perennial;Tree;4.460095;NA;NA;60;1;0.758666667;NA;NA;-0.330453968
Lamiaceae;Thymus;vulgaris;Thymus_vulgaris;Thymus_vulgaris;D;Perennial;Shrub;10.38;NA;NA;0.4;5;0.68;NA;NA;-0.090096409
Asteraceae;Tragopogon;dubius;Tragopogon_dubius;Tragopogon_dubius;D;Biennial;Herb;25.3;NA;NA;0.55;3;0.154;NA;NA;-0.075266297
Fabaceae;Trifolium;subterraneum;Trifolium_subterraneum;Trifolium_subterraneum;D;Annual;Herb;25;NA;NA;0.2;1;0.002;NA;NA;-0.58409171
Pinaceae;Tsuga;heterophylla;Tsuga_heterophylla;Tsuga_heterophylla;G;Perennial;Tree;10.3385584;NA;NA;48.37934763;1;0.9285;0.0215;NA;-0.306763848
Ulmaceae;Ulmus;laevis;Ulmus_laevis;Ulmus_laevis;D;Perennial;Tree;46.1;NA;NA;35;22;0.993;NA;0.0105;0.840101461
Scrophulariaceae;Verbascum;thapsus;Verbascum_thapsus;Verbascum_thapsus;D;Biennial;Herb;12.1;NA;NA;2;40;0.726666667;0.051333333;NA;0.715720708
Fabaceae;Vicia;faba;Vicia_faba;Vicia_faba;D;Annual;Herb;22.14;NA;NA;1;16;0.4964;NA;NA;0.44697033
Asparagaceae;Yucca;filamentosa;Yucca_filamentosa;Yucca_filamentosa;M;Perennial;Shrub;24.1449486;NA;NA;5.613783409;1;0.9505;0.065;NA;-0.103440286
